DaysMarket,Price,TRUE PRICE
1,785.00,"$785,000.00 "
2,599.90,"$599,900.00 "
2,4485.00,"$4,485,000.00 "
2,499.89,"$499,888.00 "
2,1299.00,"$1,299,000.00 "
2,729.50,"$729,500.00 "
3,350.00,"$350,000.00 "
3,599.90,"$599,900.00 "
3,424.00,"$424,000.00 "
3,599.00,"$599,000.00 "
3,729.00,"$729,000.00 "
3,639.00,"$639,000.00 "
4,1049.00,"$1,049,000.00 "
4,615.00,"$615,000.00 "
4,424.99,"$424,990.00 "
4,589.90,"$589,900.00 "
4,939.90,"$939,900.00 "
4,779.00,"$779,000.00 "
5,833.33,"$833,333.00 "
5,699.00,"$699,000.00 "
5,849.00,"$849,000.00 "
8,430.00,"$430,000.00 "
8,899.00,"$899,000.00 "
9,499.00,"$499,000.00 "
9,750.00,"$750,000.00 "
9,669.00,"$669,000.00 "
9,1299.00,"$1,299,000.00 "
9,1049.00,"$1,049,000.00 "
9,644.98,"$644,980.00 "
9,1490.00,"$1,490,000.00 "
9,739.90,"$739,900.00 "
10,1250.00,"$1,250,000.00 "
10,479.00,"$479,000.00 "
11,899.90,"$899,900.00 "
11,639.00,"$639,000.00 "
12,675.00,"$675,000.00 "
12,818.00,"$818,000.00 "
12,997.80,"$997,800.00 "
14,455.00,"$455,000.00 "
14,1298.90,"$1,298,900.00 "
15,1488.80,"$1,488,800.00 "
15,1748.00,"$1,748,000.00 "
16,444.00,"$444,000.00 "
16,549.00,"$549,000.00 "
16,359.89,"$359,888.00 "
16,499.00,"$499,000.00 "
16,769.00,"$769,000.00 "
16,450.00,"$450,000.00 "
17,1480.00,"$1,480,000.00 "
17,2695.00,"$2,695,000.00 "
18,829.00,"$829,000.00 "
19,629.89,"$629,888.00 "
20,745.00,"$745,000.00 "
23,574.00,"$574,000.00 "
24,595.00,"$595,000.00 "
24,579.90,"$579,900.00 "
26,499.00,"$499,000.00 "
30,408.80,"$408,800.00 "
31,695.00,"$695,000.00 "
32,899.00,"$899,000.00 "
32,825.00,"$825,000.00 "
32,1785.00,"$1,785,000.00 "
33,1899.00,"$1,899,000.00 "
37,697.00,"$697,000.00 "
37,1269.00,"$1,269,000.00 "
38,1250.00,"$1,250,000.00 "
38,429.00,"$429,000.00 "
39,599.90,"$599,900.00 "
44,369.00,"$369,000.00 "
45,899.00,"$899,000.00 "
45,1099.00,"$1,099,000.00 "
45,1675.00,"$1,675,000.00 "
46,989.99,"$989,990.00 "
51,1160.00,"$1,160,000.00 "
53,1849.99,"$1,849,990.00 "
54,699.00,"$699,000.00 "
55,1179.00,"$1,179,000.00 "
56,625.00,"$625,000.00 "
58,870.00,"$870,000.00 "
59,949.00,"$949,000.00 "
59,749.00,"$749,000.00 "
60,1300.00,"$1,299,999.00 "
67,789.00,"$789,000.00 "
67,499.00,"$499,000.00 "
80,685.00,"$685,000.00 "
80,1699.00,"$1,699,000.00 "
82,379.90,"$379,900.00 "
93,2095.00,"$2,095,000.00 "
179,1299.00,"$1,299,000.00 "
205,2264.00,"$2,264,000.00 "
233,5869.00,"$5,869,000.00 "
345,899.00,"$899,000.00 "
1,549.90,"$549,900.00 "
1,464.90,"$464,900.00 "
1,395.00,"$395,000.00 "
1,549.00,"$549,000.00 "
1,599.00,"$599,000.00 "
1,689.00,"$689,000.00 "
1,995.00,"$995,000.00 "
1,700.00,"$700,000.00 "
