Year_Built,Price,True Price
1970,785,785000.00
1983,599.9,599900.00
1987,4485,4485000.00
1988,499.888,499888.00
2007,1299,1299000.00
1981,729.5,729500.00
1985,350,350000.00
1949,599.9,599900.00
1964,424,424000.00
1980,599,599000.00
1911,729,729000.00
1970,639,639000.00
1967,1049,1049000.00
2015,615,615000.00
1972,424.99,424990.00
1953,589.9,589900.00
2001,939.9,939900.00
2006,779,779000.00
1954,833.333,833333.00
1922,699,699000.00
1984,849,849000.00
2002,430,430000.00
2006,899,899000.00
1962,499,499000.00
1964,750,750000.00
1999,669,669000.00
1955,1299,1299000.00
1981,1049,1049000.00
2005,644.98,644980.00
2007,1490,1490000.00
1953,739.9,739900.00
1988,1250,1250000.00
2005,479,479000.00
1949,899.9,899900.00
2000,639,639000.00
1920,675,675000.00
1952,818,818000.00
1952,997.8,997800.00
1989,455,455000.00
2001,1298.9,1298900.00
2004,1488.8,1488800.00
2007,1748,1748000.00
1923,444,444000.00
1981,549,549000.00
1973,359.888,359888.00
1978,499,499000.00
1996,769,769000.00
1972,450,450000.00
1992,1480,1480000.00
1960,2695,2695000.00
1924,829,829000.00
1990,629.888,629888.00
2004,745,745000.00
1970,574,574000.00
1974,595,595000.00
2015,579.9,579900.00
1969,499,499000.00
1973,408.8,408800.00
1951,695,695000.00
1981,899,899000.00
1991,825,825000.00
1939,1785,1785000.00
1998,1899,1899000.00
1996,697,697000.00
1950,1269,1269000.00
1991,1250,1250000.00
2001,429,429000.00
2017,599.9,599900.00
1971,369,369000.00
1925,899,899000.00
1955,1099,1099000.00
1946,1675,1675000.00
1947,989.99,989990.00
2008,1160,1160000.00
1925,1849.99,1849990.00
1928,699,699000.00
1996,1179,1179000.00
2019,625,625000.00
1992,870,870000.00
1949,949,949000.00
1981,749,749000.00
1926,1299.999,1299999.00
1928,789,789000.00
2005,499,499000.00
2012,685,685000.00
1928,1699,1699000.00
1970,379.9,379900.00
2007,2095,2095000.00
1982,1299,1299000.00
1922,2264,2264000.00
2013,5869,5869000.00
1985,899,899000.00
1990,549.9,549900.00
1940,464.9,464900.00
1972,395,395000.00
2007,549,549000.00
1988,599,599000.00
2007,689,689000.00
1916,995,995000.00
1951,700,700000.00
