DaysMarket,Price,TRUE PRICE
1,0.785,"$785,000.00 "
2,0.5999,"$599,900.00 "
2,4.485,"$4,485,000.00 "
2,0.499888,"$499,888.00 "
2,1.299,"$1,299,000.00 "
2,0.7295,"$729,500.00 "
3,0.35,"$350,000.00 "
3,0.5999,"$599,900.00 "
3,0.424,"$424,000.00 "
3,0.599,"$599,000.00 "
3,0.729,"$729,000.00 "
3,0.639,"$639,000.00 "
4,1.049,"$1,049,000.00 "
4,0.615,"$615,000.00 "
4,0.42499,"$424,990.00 "
4,0.5899,"$589,900.00 "
4,0.9399,"$939,900.00 "
4,0.779,"$779,000.00 "
5,0.833333,"$833,333.00 "
5,0.699,"$699,000.00 "
5,0.849,"$849,000.00 "
8,0.43,"$430,000.00 "
8,0.899,"$899,000.00 "
9,0.499,"$499,000.00 "
9,0.75,"$750,000.00 "
9,0.669,"$669,000.00 "
9,1.299,"$1,299,000.00 "
9,1.049,"$1,049,000.00 "
9,0.64498,"$644,980.00 "
9,1.49,"$1,490,000.00 "
9,0.7399,"$739,900.00 "
10,1.25,"$1,250,000.00 "
10,0.479,"$479,000.00 "
11,0.8999,"$899,900.00 "
11,0.639,"$639,000.00 "
12,0.675,"$675,000.00 "
12,0.818,"$818,000.00 "
12,0.9978,"$997,800.00 "
14,0.455,"$455,000.00 "
14,1.2989,"$1,298,900.00 "
15,1.4888,"$1,488,800.00 "
15,1.748,"$1,748,000.00 "
16,0.444,"$444,000.00 "
16,0.549,"$549,000.00 "
16,0.359888,"$359,888.00 "
16,0.499,"$499,000.00 "
16,0.769,"$769,000.00 "
16,0.45,"$450,000.00 "
17,1.48,"$1,480,000.00 "
17,2.695,"$2,695,000.00 "
18,0.829,"$829,000.00 "
19,0.629888,"$629,888.00 "
20,0.745,"$745,000.00 "
23,0.574,"$574,000.00 "
24,0.595,"$595,000.00 "
24,0.5799,"$579,900.00 "
26,0.499,"$499,000.00 "
30,0.4088,"$408,800.00 "
31,0.695,"$695,000.00 "
32,0.899,"$899,000.00 "
32,0.825,"$825,000.00 "
32,1.785,"$1,785,000.00 "
33,1.899,"$1,899,000.00 "
37,0.697,"$697,000.00 "
37,1.269,"$1,269,000.00 "
38,1.25,"$1,250,000.00 "
38,0.429,"$429,000.00 "
39,0.5999,"$599,900.00 "
44,0.369,"$369,000.00 "
45,0.899,"$899,000.00 "
45,1.099,"$1,099,000.00 "
45,1.675,"$1,675,000.00 "
46,0.98999,"$989,990.00 "
51,1.16,"$1,160,000.00 "
53,1.84999,"$1,849,990.00 "
54,0.699,"$699,000.00 "
55,1.179,"$1,179,000.00 "
56,0.625,"$625,000.00 "
58,0.87,"$870,000.00 "
59,0.949,"$949,000.00 "
59,0.749,"$749,000.00 "
60,1.299999,"$1,299,999.00 "
67,0.789,"$789,000.00 "
67,0.499,"$499,000.00 "
80,0.685,"$685,000.00 "
80,1.699,"$1,699,000.00 "
82,0.3799,"$379,900.00 "
93,2.095,"$2,095,000.00 "
179,1.299,"$1,299,000.00 "
205,2.264,"$2,264,000.00 "
233,5.869,"$5,869,000.00 "
345,0.899,"$899,000.00 "
1,0.5499,"$549,900.00 "
1,0.4649,"$464,900.00 "
1,0.395,"$395,000.00 "
1,0.549,"$549,000.00 "
1,0.599,"$599,000.00 "
1,0.689,"$689,000.00 "
1,0.995,"$995,000.00 "
1,0.7,"$700,000.00 "
